1788572452,32.86,8788,3
1788572453,35.86,8819,3
1788572454,32.90,8842,9
1788572455,130.58,8849,86
1788572457,131.78,8831,89
1788572458,136.63,8832,85
1788572459,136.21,8909,87
1788572460,135.71,8894,88
1788572461,134.51,8886,90
1788572462,136.73,8878,90
1788572463,137.43,8902,90
1788572464,130.98,8876,92
1788572465,133.00,8871,88
1788572466,135.31,8851,86
1788572467,135.40,8850,90
1788572468,135.76,8850,89
1788572470,136.87,8843,90
1788572471,137.29,8843,89
1788572472,135.28,8843,91
1788572473,135.29,8869,90
1788572474,132.42,8869,91
1788572475,131.91,8871,90
1788572476,135.48,8851,90
1788572477,135.88,8850,89
1788572478,135.76,8850,89
1788572479,134.98,8845,87
1788572480,135.13,8845,89
1788572482,136.14,8845,92
1788572483,136.46,8801,91
1788572484,134.50,8836,89
1788572485,129.01,8837,90
1788572486,136.30,8811,87
1788572487,135.70,8810,89
1788572488,136.21,8814,90
1788572489,136.46,8796,89
1788572490,136.27,8788,92
1788572491,135.20,8789,89
1788572492,136.73,8790,90
1788572493,134.18,8832,90
1788572495,131.28,8835,86
1788572496,135.79,8835,85
1788572497,134.68,8865,88
1788572498,133.57,8853,85
1788572499,133.61,8838,88
1788572500,132.96,8838,83
1788572501,133.63,8803,90
1788572502,133.61,8792,87
1788572503,134.74,8822,90
1788572504,130.32,8825,91
1788572505,134.24,8829,86
1788572506,137.54,8816,92
1788572508,138.81,8812,93
1788572509,136.31,8816,99
1788572510,154.86,8800,99
1788572511,155.61,8800,99
1788572512,155.17,8799,99
1788572513,137.87,8828,91
1788572514,122.66,8828,13
1788572515,69.05,8828,91
1788572516,137.06,8804,90
1788572517,136.23,8802,89
1788572518,91.27,8802,91
1788572519,135.44,8798,87
1788572521,136.85,8798,90
1788572522,94.89,8798,89
1788572523,135.73,8827,88
1788572524,89.48,8827,92
1788572525,130.93,8827,91
1788572526,136.88,8804,90
1788572527,99.11,8802,89
1788572528,136.44,8802,90
1788572529,62.87,8800,9
1788572530,124.56,8800,90
1788572531,74.32,8800,9
1788572532,36.53,8800,15
1788572534,118.43,8836,89
1788572535,125.41,8837,88
1788572536,131.21,8837,89
1788572537,131.60,8815,88
1788572538,132.14,8811,90
1788572539,132.00,8805,88
1788572540,130.77,8800,90
1788572541,132.03,8800,91
1788572542,132.28,8799,89
1788572543,132.58,8828,89
1788572544,126.98,8828,90
1788572546,131.38,8828,89
1788572547,133.01,8803,90
1788572548,132.88,8802,88
1788572549,133.57,8802,90
1788572550,135.40,8798,87
1788572551,136.42,8798,91
1788572552,136.34,8798,90
1788572553,136.56,8827,93
1788572554,130.46,8827,93
1788572555,131.90,8827,89
1788572556,133.77,8804,90
1788572557,133.89,8802,91
1788572559,134.30,8802,89
1788572560,133.32,8798,88
1788572561,134.89,8798,90
1788572562,135.56,8798,91
