1788936911,30.06,1634,4
1788936912,30.04,1634,4
1788936913,30.10,1655,4
1788936914,32.46,1664,3
1788936915,30.16,1664,4
1788936916,30.20,1644,4
1788936918,30.10,1636,4
1788936919,30.06,1636,4
1788936920,30.57,1704,7
1788936921,31.14,1727,5
1788936922,30.73,1698,5
1788936923,30.76,1707,5
1788936924,32.88,1691,9
1788936925,31.92,1678,4
1788936926,30.48,1657,5
1788936927,30.34,1637,4
1788936928,30.42,1652,4
1788936930,30.45,1665,4
1788936931,30.40,1639,5
1788936932,30.42,1644,5
1788936933,30.35,1679,4
1788936934,32.55,1679,8
1788936935,31.77,1679,5
1788936936,30.77,1650,5
1788936937,30.86,1651,5
1788936938,30.79,1651,5
1788936939,30.86,1716,5
1788936940,29.51,1716,3
1788936941,29.26,1680,3
1788936943,29.50,1680,3
1788936944,30.00,1696,7
1788936945,32.04,1658,3
1788936946,29.53,1659,2
1788936947,29.44,1653,2
1788936948,29.37,1638,2
1788936949,29.44,1647,3
1788936950,29.52,1643,3
1788936951,29.44,1643,3
1788936952,29.46,1650,3
1788936953,30.13,1671,7
1788936954,31.99,1671,3
1788936956,29.71,1671,3
1788936957,29.36,1655,2
1788936958,29.13,1636,2
1788936959,29.30,1651,2
1788936960,29.85,1662,3
1788936961,29.49,1661,3
1788936962,29.47,1655,3
1788936963,29.47,1671,3
1788936964,31.47,1671,7
1788936965,30.60,1670,2
1788936966,29.54,1642,3
1788936967,30.15,1719,1
1788936969,30.43,1725,3
1788936970,28.91,1697,2
1788936971,29.19,1674,3
1788936972,29.35,1684,2
1788936973,29.35,1680,3
1788936974,31.49,1672,7
1788936975,30.59,1672,3
1788936976,29.42,1658,3
1788936977,29.25,1637,2
1788936978,29.36,1652,2
1788936980,28.99,1635,2
1788936981,28.99,1635,3
1788936982,29.28,1635,2
1788936983,29.36,1672,2
1788936984,31.04,1656,6
1788936985,29.99,1672,2
1788936986,28.93,1643,2
1788936987,28.92,1656,2
1788936988,29.32,1652,3
1788936989,29.29,1652,2
1788936990,29.35,1635,2
1788936991,29.22,1651,4
1788936993,31.35,1717,6
1788936994,31.13,1716,8
1788936995,32.61,1705,4
1788936996,30.27,1690,4
1788936997,30.02,1685,4
1788936998,30.03,1651,4
1788936999,29.96,1651,4
1788937000,30.32,1634,4
1788937001,30.39,1649,4
1788937002,30.02,1634,4
1788937003,30.60,1670,8
1788937005,32.82,1670,4
1788937006,30.34,1684,4
1788937007,30.15,1635,4
1788937008,30.01,1659,4
1788937009,30.28,1659,5
1788937010,30.33,1642,4
1788937011,30.35,1633,4
1788937012,30.37,1649,4
1788937013,30.38,1654,4
1788937014,32.23,1655,8
1788937015,30.17,1655,4
1788937016,30.03,1656,4
1788937018,30.70,1718,5
1788937019,31.00,1733,5
1788937020,30.49,1715,4
1788937021,30.59,1696,4
1788937022,30.51,1696,4
1788937023,30.10,1663,4
1788937024,31.85,1671,7
1788937025,31.13,1656,4
1788937026,30.17,1671,4
1788937027,30.14,1636,4
1788937028,30.08,1635,4
1788937030,30.42,1634,4
1788937031,30.46,1649,4
1788937032,30.36,1649,4
1788937033,30.37,1670,4
1788937034,32.38,1655,8
1788937035,31.51,1670,4
1788937036,30.25,1641,4
1788937037,30.05,1666,4
1788937038,30.11,1636,4
1788937039,30.10,1664,4
1788937040,30.16,1634,4
1788937041,30.15,1648,3
1788937043,30.13,1650,4
1788937044,30.94,1746,9
1788937045,32.75,1719,2
1788937046,29.21,1680,2
1788937047,29.26,1684,3
1788937048,29.23,1683,2
1788937049,29.23,1635,3
1788937050,29.18,1633,3
1788937051,29.16,1633,2
1788937052,29.13,1648,3
1788937054,29.85,1654,7
1788937055,31.78,1669,2
1788937056,29.20,1653,3
1788937057,29.20,1649,3
1788937058,28.81,1634,2
1788937059,28.80,1649,2
